URL da manifestação,Titulo,categoria,Situação,Registro,Alteração,Tipo,Nº Mês
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150803112423,Protocolos 156 não atendidos,156,Pendente,03/08/15,03/08/2015 11:24,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150623112501,Protocolos 156 sem reposta e depois de 8 meses dão resposta evasiva,156,Pendente,23/06/15,23/06/2015 11:25,Denúncia,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150730162448,PUBLICIDADE IRREGULAR EM VIA PÚBLICA,POSTURA,Resolvida,30/07/15,06/08/2015 14:24,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150701092358,Quebra de sigilo 156,156,Resolvida,01/07/15,24/07/2015 10:37,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150824141904,Reclamação de lixo acumulado em terreno particular,LIXO,Pendente,24/08/15,24/08/2015 14:19,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150803115301,Reclamação de Protocolo não atendido,156,Tramitando,03/08/15,20/08/2015 10:17,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150803145738,Reclamação sobre transito não atentido,SETRAN,Aceito,03/08/15,03/08/2015 14:59,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150714095653,Recolha de poda,LIXO,Tramitando,14/07/15,15/07/2015 12:01,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150723175821,recolha de poda,LIXO,Tramitando,23/07/15,20/08/2015 11:08,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150701114446,Recolhimento de lixo e lixo reciclável,LIXO,Tramitando,01/07/15,15/07/2015 11:42,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713100111,Recolhimento de lixo vegetal,LIXO,Tramitando,13/07/15,06/08/2015 13:47,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706174504,Recolhimento de poda de vegetação,LIXO,Tramitando,06/07/15,06/08/2015 11:41,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150806160655,Recuperação de Passeio,OBRAS,Tramitando,06/08/15,06/08/2015 16:51,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150820090506,RECUPERAÇÃO DE TUBULAÇÃO ATÉ 80CM,OBRAS,Aceito,20/08/15,20/08/2015 15:57,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520142813,Redutor de Velocidade,OBRAS,Resolvida,20/05/15,11/06/2015 15:54,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521093955,Redutor de velocidade,OBRAS,Resolvida,21/05/15,11/06/2015 16:21,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150522141747,Ref. Lei 13.805/2011,SETRAN,Resolvida,22/05/15,11/06/2015 16:30,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520154802,Reforma e revitalização,OBRAS,Resolvida,20/05/15,08/06/2015 10:13,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731164309,Reitero solicitação de audiência pública com senhor ouvidor!,CMC,Resolvida,31/07/15,03/08/2015 11:23,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150730113913,RELOCAÇÃO DE CAIXA DE CAPTAÇÃO,OBRAS,Tramitando,30/07/15,06/08/2015 14:10,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150811151154,Remoção de Toco,PODA,Tramitando,11/08/15,20/08/2015 15:11,Reclamação,8
